Domain,Paragraph_ID,Source_Document_ID,Tuple_ID,ProbeID,Probe_Number,Probe_Type,Paragraph,Probe_Question,Gold_Label
Pubmed,P72P6,P72P6,P72P6_T1,P72P6_T1_5,5,condition_contradicted,"As potential biomarkers, epigenetic modifications such as hyper- or hypomethylation of tumor-related genes have lately emerged as one of the key alterations in cancer development. Aberrant patterns of methylation have aroused interest in the molecular subclassification of urologic tumors and might potentially serve as prognostic and predictive biomarkers in PCa. Furthermore, DNA is a highly robust cellular element that can be extracted reliably from different materials, e.g., fresh tissue, formalin-fixed paraffin-embedded tissue (FFPET), and body fluids.",,Not Supported
Pubmed,P85P7,P85P7,P85P7_T2,P85P7_T2_2,2,condition_replaced,"The four genes identified in our signature, HBEGF, HOXC13, IGFBP2, and SATB1, all play significant roles in the modification of cancer phenotypes. HOXC13, a homeobox-family transcription factor known to control cell proliferation and differentiation, was found to be upregulated in our recurrent prostate cancer samples. HOXC13 has been reported to be upregulated in metastatic melanoma compared to primary tumor tissue. Furthermore, knockdown of HOXC13 has been reported to decrease viability of several cancer cell lines in vitro, including the prostate cancer line PC-3ML. SATB1 is a chromatin organizer responsible for the recruitment of chromatin remodeling proteins, and was found to be downregulated in our recurrent sample cohort. In colorectal cancer, loss of SATB1 was reported to be a strong predictor of worse outcomes. Publicly available microarray data indicates that SATB1 is downregulated in prostate cancer as well as other solid tumors. Increased nuclear localization of SATB1 has been reported to be correlated with increased prostate cancer aggression and invasive potential. Although this runs counter to our observation, it is possible that our recurrent prostate cancer samples may have higher nuclear localization despite lower overall expression. The appearance of IGFBP2 in our gene signature was reassuring, since decreased expression of this gene has been reported to be a predictor of prostate cancer recurrence after radical prostatectomy. The structurally similar protein IGFBP5 has also been found to be downregulated in metastatic prostate cancer. Finally, HBEGF is a ligand of the EGF receptor that also binds heparin. HBEGF has not been studied in prostate cancer, but HBEGF is known to promote invasion and metastasis in breast, colon, and ovarian cancer. HBEGF was unexpectedly downregulated in the recurrent prostate cancer samples, which would appear at odds with its previously documented role in cancer. However, a recent study found that the expression of the growth factor receptor FGFR1 was associated with indolent prostate cancer. While the particular mechanism by which FGFR1 acts to drive this outcome is unknown, HBEGF may function in a similar way.",,Not Enough Evidence
Pubmed,P87P3,P87P3,P87P3_T2,P87P3_T2_5,5,condition_contradicted,"Wnt ligands bind to Frizzled (Fzd) receptors to activate the WP, which then induces signal transduction cascades. The WP is generally divided into a Œ≤-catenin-dependent canonical WP (CWP), and a Œ≤-catenin-independent non-canonical WP (NCWP). The importance of the CWP in carcinogenesis was first discovered in colorectal cancer, where mutations of the APC gene, a part of the Œ≤-catenin destruction complex, resulted in stabilization and nuclear translocation of Œ≤-catenin. This Œ≤-catenin translocation is a hallmark of CWP activation, and can drive tumor invasion and metastasis through a process of epithelial-to-mesenchymal transition (EMT). During EMT, epithelial cancer cells develop into less adhesive and more motile mesenchymal-like cells, which increases the cancer‚Äôs potential for invasion and metastasis. There is mounting evidence associating EMT in prostate cancer with increased aggressiveness. Several studies support the activation of CWP in advanced and metastatic prostate cancer, but little evidence exists for localized and locally advanced prostate cancer.",,Not Supported
Pubmed,P32P1,P32P1,P32P1_T2,P32P1_T2_4,4,original_condition,Multi-parametric magnetic resonance imaging (MP-MRI) is currently the most comprehensive work up for non-invasive primary tumor staging of prostate cancer (PCa). Prostate-specific membrane antigen (PSMA)-positron emission tomography-computed tomography (PET/CT) is presented to be a highly promising new technique for N- and M-staging in recurrent PCa patients. The present investigation analyses the potential of 68Ga-PSMA-11-PET/CT to assess the extent of primary prostate cancer by intra-individual comparison to MP-MRI.,,Supported
Pubmed,P179P2,P179P2,P179P2_T2,P179P2_T2_3,3,condition_removed,"Prior to the widespread utilization of prostate-specific antigen in the late 1980s, over 50% of patients who presented with prostate cancer exhibited advanced disease. Now, however, use of the prostate-specific antigen test has resulted in overdiagnosis and the overtreatment of many indolent tumors that would not have caused harm during a patient‚Äôs lifetime. In addition, despite early interventions, nearly 20%‚Äì40% of patients still experience cancer recurrence following radical prostatectomy.",,Not Enough Evidence
Pubmed,P99P14,P99P14,P99P14_T4,P99P14_T4_4,4,original_condition,"In a large multicenter sample of men with adverse pathologic features with the longest follow-up to date, the Decipher genomic classifier demonstrated a potentially clinically important improvement in prediction of prostate cancer-specific mortality at 10 years in all men, as well as in subgroups considered high risk based on prostate-specific antigen, stage, or Gleason score, and very high risk men who experienced early biochemical recurrence, or who developed metastasis after radical prostatectomy. Adding the genomic classifier to a model with either CAPRA-S or individual clinical variables improved prediction of prostate cancer-specific mortality within 10 years, and identified subgroups of men with very low risk of prostate cancer-specific mortality at 10 years who may be suitable for conservative postsurgical management, and men with very high risk who may require more aggressive therapy. Clinical trials are needed to determine whether the combination of the Decipher genomic classifier and CAPRA-S can improve treatment assignment and outcomes compared to clinical variables alone.",,Supported
Pubmed,P68P4,P68P4,P68P4_T2,P68P4_T2_1,1,relation_contradicted,CDO1 promoter methylation is involved in gene regulation and is a potential prognostic biomarker for BCR-free survival in PCa patients following radical prostatectomy. Further studies are needed to validate CDO1 methylation assays and to evaluate the clinical utility of CDO1 methylation for the management of PCa.,,Not Supported
Pubmed,P104P2,P104P2,P104P2_T3,P104P2_T3_5,5,condition_contradicted,"The results from clinical breast cancer samples indicated that PLA2G7 is overexpressed in a subset of breast cancer samples compared to its expression in benign breast tissue samples and that high PLA2G7 expression associated with hormone receptor negativity as well as with poor prognosis in a subset of breast cancer samples. In vitro functional studies highlighted the putative role of PLA2G7 in the regulation of epithelial-mesenchymal transition-related signalling pathways, vimentin and E-cadherin protein expression as well as cell migration in cultured breast cancer cells. Furthermore, supporting the findings in breast and prostate cancer, high PLA2G7 mRNA expression was associated with metastatic cancer in four additional organs of origin. In conclusion, our results indicate that PLA2G7 is highly expressed in a subset of metastatic and aggressive breast cancers and in metastatic samples of various tissues of origin and promotes EMT and migration in cultured breast cancer cells.",,Not Supported
Pubmed,P85P7,P85P7,P85P7_T7,P85P7_T7_5,5,condition_contradicted,"The four genes identified in our signature, HBEGF, HOXC13, IGFBP2, and SATB1, all play significant roles in the modification of cancer phenotypes. HOXC13, a homeobox-family transcription factor known to control cell proliferation and differentiation, was found to be upregulated in our recurrent prostate cancer samples. HOXC13 has been reported to be upregulated in metastatic melanoma compared to primary tumor tissue. Furthermore, knockdown of HOXC13 has been reported to decrease viability of several cancer cell lines in vitro, including the prostate cancer line PC-3ML. SATB1 is a chromatin organizer responsible for the recruitment of chromatin remodeling proteins, and was found to be downregulated in our recurrent sample cohort. In colorectal cancer, loss of SATB1 was reported to be a strong predictor of worse outcomes. Publicly available microarray data indicates that SATB1 is downregulated in prostate cancer as well as other solid tumors. Increased nuclear localization of SATB1 has been reported to be correlated with increased prostate cancer aggression and invasive potential. Although this runs counter to our observation, it is possible that our recurrent prostate cancer samples may have higher nuclear localization despite lower overall expression. The appearance of IGFBP2 in our gene signature was reassuring, since decreased expression of this gene has been reported to be a predictor of prostate cancer recurrence after radical prostatectomy. The structurally similar protein IGFBP5 has also been found to be downregulated in metastatic prostate cancer. Finally, HBEGF is a ligand of the EGF receptor that also binds heparin. HBEGF has not been studied in prostate cancer, but HBEGF is known to promote invasion and metastasis in breast, colon, and ovarian cancer. HBEGF was unexpectedly downregulated in the recurrent prostate cancer samples, which would appear at odds with its previously documented role in cancer. However, a recent study found that the expression of the growth factor receptor FGFR1 was associated with indolent prostate cancer. While the particular mechanism by which FGFR1 acts to drive this outcome is unknown, HBEGF may function in a similar way.",,Not Supported
Pubmed,P38P2,P38P2,P38P2_T3,P38P2_T3_1,1,relation_contradicted,"A total of 410 evaluable patients had paired tumor and NT. Forty-six genes, representing diverse biological pathways (androgen signaling, stromal response, stress response, cellular organization, proliferation, cell adhesion, and chromatin remodeling) were associated with cR in NT (FDR < 20%), of which 39 concordantly predicted cR in tumor (FDR < 20%). Overall GPS and its stromal response and androgen-signaling gene group components also significantly predicted time to cR in NT (RM-corrected HR/20 units = 1.25; 95% CI: 1.01‚àí1.56; P = 0.024).",,Not Supported
Pubmed,P16P2,P16P2,P16P2_T4,P16P2_T4_1,1,relation_contradicted,"Numerous long noncoding RNAs (lncRNAs) have recently emerged as targets for clinical translation. We previously identified 121 novel, differentially expressed prostate cancer (PCa) lncRNAs, including SChLAP1, which is overexpressed in a subset of tumors and associated with more aggressive disease. We subsequently validated a novel RNA in situ hybridization (ISH) assay for detection of SChLAP1 in formalin-fixed, paraffin-embedded (FFPE) tissue and used this assay to demonstrate that high SChLAP1 expression independently predicts biochemical PCa recurrence (ie, prostate-specific antigen [PSA] relapse) after radical prostatectomy in patients with clinically localized PCa. Although biochemical recurrence almost universally precedes clinical disease recurrence, many PCa patients with biochemical recurrence do not develop lethal disease. Given the predictive value of SChLAP1 ISH for biochemical recurrence after radical prostatectomy, we sought to investigate whether high SChLAP1 expression on ISH is also associated with development of lethal PCa (PCa-specific mortality or distant metastases).",,Not Supported
Pubmed,P118P5,P118P5,P118P5_T3,P118P5_T3_1,1,relation_contradicted,"Among the tumor types analyzed, bladder urothelial carcinoma had the highest mutation count, followed by adrenocortical carcinoma, papillary renal cell carcinoma, testis germ cell tumor, clear cell renal cell carcinoma, prostate adenocarcinoma, pheochromocytoma and paraganglioma, and chromophobe renal cell carcinoma. The tumor type with the highest fraction of the genome with copy number variation was chromophobe renal cell carcinoma, followed by adrenocortical carcinoma, testis germ cell tumor, bladder urothelial carcinoma, papillary renal cell carcinoma, pheochromocytoma and paraganglioma, clear cell renal cell carcinoma, and prostate adenocarcinoma. Mutation count was associated with higher tumor stage and grade in several cancers and with survival outcomes in chromophobe renal cell carcinoma. Copy number variation was associated with higher stage and grade in multiple cancers and with inferior survival outcomes in some tumor types.",,Not Supported
Pubmed,P96P3,P96P3,P96P3_T2,P96P3_T2_3,3,condition_removed,"As a case study, we applied this pipeline to systematically analyze the role of ALDH1A2 in prostate cancer. We have previously found this gene to have multiple roles in disease and homeostasis, and here we investigate the role of the associated ALDH1A2 gene/protein networks in prostate cancer, using our methodology in combination with prostate cancer patient clinical profiles from ICGC and TCGA databases. Relationships between gene signatures and relapse were analyzed using Kaplan‚ÄìMeier log-rank analysis and multivariable Cox regression. Relative expression versus pooled mean from diploid population was used for z-statistics calculation. Gene/protein interaction network analyses generated 11 core genes associated with ALDH1A2; combinatorial ranking of the power set of these core genes identified two gene sets with significant correlation with disease relapse. For the more significant of these two sets, referred to as the optimal gene set, patients have median survival 62.7 months with optimal gene set alterations compared to more than 150 months without optimal gene set alterations. Two genes comprising the optimal gene set (CYP26A1 and RDH10) are strongly associated with ALDH1A2 in the retinoic acid pathways, suggesting a major role of retinoic acid signaling in early prostate cancer progression. Our pipeline complements human expertise in the search for prognostic biomarkers in large-scale datasets.",,Not Enough Evidence
Pubmed,P57P9,P57P9,P57P9_T1,P57P9_T1_5,5,condition_contradicted,"The fact that the cohort is based on radical prostatectomy specimens, however, is a major limitation of this study. Gene methylation can be robustly determined even in little formalin-fixed pathological material. If the prognostic value of CXCL12 methylation can be transferred to a biopsy-based cohort, its analysis may be a promising tool in order to identify patients with innocuous tumors that can safely be followed by active surveillance protocols. Conversely, aberrant methylation of CXCL12 may indicate a high metastatic potential. In consequence, affected patients possibly will benefit from radical treatment, including radical prostatectomy. In a paired analysis of CXCL12 methylation based on biopsy and matched ectomy specimens, we were able to show that the results of mCXCL12 assessments are concordant. In addition, our assay seems to be able to reliably determine CXCL12 methylation in biopsy material. The variation coefficients of our results were slightly higher the lower the amount of applied DNA was, however, in homoscedastic testing, no difference could be observed. In practice, growing variances in small samples may easily be counteracted by increasing the number of replicates in the analysis. If the assay will be established for future routine use, a broad spectrum of biopsy material will be needed to precisely set the measuring range and achieve tight tolerances.",,Not Supported
Pubmed,P108P7,P108P7,P108P7_T1,P108P7_T1_4,4,original_condition,"Tumour heterogeneity in cancer is a major obstacle in clinical practice and in the search for prognostic markers. Genomic heterogeneity in prostate cancer has been documented in studies that analysed small parts of the tumour from only a few patients. There is a growing awareness that analysis of multiple samples is necessary to overcome the limiting factor of tumour heterogeneity on the discovery and validation of biomarkers. Despite this, most of these studies still rely on solely one sample. In order to more accurately model heterogeneity, we chose to analyse a high number of samples with three independent methods applied to a large cohort of patients with long follow-up.",,Supported
Pubmed,P35P4,P35P4,P35P4_T1,P35P4_T1_4,4,original_condition,"Our results collectively showed a progression-driving role of SPAG5 in PCa which can be regulated by miR-539, suggesting that miR-539/SPAG5 can serve as a potential therapeutic target for PCa.",,Supported
Pubmed,P70P11,P70P11,P70P11_T1,P70P11_T1_5,5,condition_contradicted,"However, a lower positive sample fraction level can be expected due to our smaller effective sample volume and high stringency in tumor cell calling. In this study, we only include tumor cells defined by their relatively large size, nuclear morphology, and cytokeratin-positive/CD45-negative expression profile, but other less well-characterized tumor cell populations exist.",,Not Supported
Pubmed,P87P3,P87P3,P87P3_T2,P87P3_T2_1,1,relation_contradicted,"Wnt ligands bind to Frizzled (Fzd) receptors to activate the WP, which then induces signal transduction cascades. The WP is generally divided into a Œ≤-catenin-dependent canonical WP (CWP), and a Œ≤-catenin-independent non-canonical WP (NCWP). The importance of the CWP in carcinogenesis was first discovered in colorectal cancer, where mutations of the APC gene, a part of the Œ≤-catenin destruction complex, resulted in stabilization and nuclear translocation of Œ≤-catenin. This Œ≤-catenin translocation is a hallmark of CWP activation, and can drive tumor invasion and metastasis through a process of epithelial-to-mesenchymal transition (EMT). During EMT, epithelial cancer cells develop into less adhesive and more motile mesenchymal-like cells, which increases the cancer‚Äôs potential for invasion and metastasis. There is mounting evidence associating EMT in prostate cancer with increased aggressiveness. Several studies support the activation of CWP in advanced and metastatic prostate cancer, but little evidence exists for localized and locally advanced prostate cancer.",,Not Supported
Pubmed,P71P7,P71P7,P71P7_T1,P71P7_T1_4,4,original_condition,"In this study, we contribute 68 novel prostate cancer associated mtDNA mutations to the growing somatic catalog, while confirming six others. Taken together, roughly 3% of the total mitochondrial genome has now been shown to have mutagenic potential during prostate tumourigenesis. Accounting for previous study biases towards the restricted analysis of the hypervariable regions within the control region of mtDNA, the greatest overall impact appears to be within the smaller 1.2 kb non-coding portion of the genome, observing 14 SNVs per kb in our study. We confirm a previously reported bias towards mutational events within the tRNAs, reporting 8.7 SNVs per kb. We predict 32% of our identified mutations to have biological potential, with roughly half present in sufficient frequency to alter mitochondrial function. Further biological studies are required to determine the overall impact of these somatic mutations on energy metabolism, specifically their potential to drive tumor respiration from one of oxidative phosphorylation to aerobic glycolysis, a common cancer phenomenon known as the Warburg effect.",,Supported
Pubmed,P118P15,P118P15,P118P15_T2,P118P15_T2_2,2,condition_replaced,"High mutation count has previously been associated with greater response to certain immunotherapies. In this study, mutation count was associated with higher tumor stage and grade in several cancers and was independently associated with survival outcomes in chromophobe renal cell carcinoma.",,Not Enough Evidence
Pubmed,P85P7,P85P7,P85P7_T5,P85P7_T5_5,5,condition_contradicted,"The four genes identified in our signature, HBEGF, HOXC13, IGFBP2, and SATB1, all play significant roles in the modification of cancer phenotypes. HOXC13, a homeobox-family transcription factor known to control cell proliferation and differentiation, was found to be upregulated in our recurrent prostate cancer samples. HOXC13 has been reported to be upregulated in metastatic melanoma compared to primary tumor tissue. Furthermore, knockdown of HOXC13 has been reported to decrease viability of several cancer cell lines in vitro, including the prostate cancer line PC-3ML. SATB1 is a chromatin organizer responsible for the recruitment of chromatin remodeling proteins, and was found to be downregulated in our recurrent sample cohort. In colorectal cancer, loss of SATB1 was reported to be a strong predictor of worse outcomes. Publicly available microarray data indicates that SATB1 is downregulated in prostate cancer as well as other solid tumors. Increased nuclear localization of SATB1 has been reported to be correlated with increased prostate cancer aggression and invasive potential. Although this runs counter to our observation, it is possible that our recurrent prostate cancer samples may have higher nuclear localization despite lower overall expression. The appearance of IGFBP2 in our gene signature was reassuring, since decreased expression of this gene has been reported to be a predictor of prostate cancer recurrence after radical prostatectomy. The structurally similar protein IGFBP5 has also been found to be downregulated in metastatic prostate cancer. Finally, HBEGF is a ligand of the EGF receptor that also binds heparin. HBEGF has not been studied in prostate cancer, but HBEGF is known to promote invasion and metastasis in breast, colon, and ovarian cancer. HBEGF was unexpectedly downregulated in the recurrent prostate cancer samples, which would appear at odds with its previously documented role in cancer. However, a recent study found that the expression of the growth factor receptor FGFR1 was associated with indolent prostate cancer. While the particular mechanism by which FGFR1 acts to drive this outcome is unknown, HBEGF may function in a similar way.",,Not Supported
Pubmed,P158P3,P158P3,P158P3_T1,P158P3_T1_4,4,original_condition,"HDDA10 showed significant performance for predicting metastasis and biochemical recurrence in the validation set, outperforming Gleason grade grouping for biochemical recurrence and with comparable performance for metastasis endpoint. HDDA10 prognostic significance was superior to any clinical‚Äìpathological parameter within grade group 2 and 3 patients for biochemical recurrence and also performed better for metastasis than Gleason pattern 4. HDDA10 remained significant for both biochemical recurrence and metastasis in multivariate analysis, suggesting that it can be used to increase accuracy in stratifying patients eligible for active surveillance.",,Supported
